libantlr3-gunit-java-doc 3.2.is.3.2-7ubuntu3
libaopalliance-java-doc 20070526-5
libapache-mime4j-java-doc 0.7.2-2
libapache-mod-jk-doc 1:1.2.37-3
libapache-poi-java-doc 3.9-1
libapache2-mod-perl2-doc 2.0.8+httpd24-r1449661-6ubuntu2
libapache2-mod-python-doc 3.3.1-11ubuntu2
libapache2-mod-rivet-doc 2.1.3-1
libappindicator-doc 12.10.1+13.10.20130920-0ubuntu4.1
libapreq2-doc 2.13-3ubuntu2
libapt-pkg-doc 1.0.1ubuntu2.6
libaqbanking-doc 5.3.5beta-2
libargs4j-java-doc 2.0.25-1
libargtable2-docs 12-1ubuntu1
libasio-doc 1.10.1-1
libasm-java-doc 1.5.3-7
libasm2-java-doc 2.2.3-6
libasm3-java-doc 3.3.2-2
libasound2-doc 1.0.27.2-3ubuntu7
libaspectj-java-doc 1.6.12+dfsg-3
libassimp-doc 3.0~dfsg-2
libasync-http-client-java-doc 1.6.5-2
libatinject-jsr330-api-java-doc 1.0+ds1-1
libatk1.0-doc 2.10.0-2ubuntu2
libatkmm-1.6-doc 2.22.7-2ubuntu1
libatlas-cpp-doc 0.6.2-3
libatlas-doc 3.10.1-4
libaubio-doc 0.4.0-1
libav-doc 6:9.18-0ubuntu0.14.04.1
libavalon-framework-java-doc 4.2.0-9
libaws-doc 2.10.2-4
libaxis-java-doc 1.4-20ubuntu3
libbabl-doc 0.1.10-1ubuntu2
libbackport-util-concurrent-java-doc 3.1-3build1
libball1.4-doc 3.1-3build1
libbamf-doc 0.5.1+14.04.20140409-0ubuntu1
libbarby-ruby-doc 0.5.1+14.04.20140409-0ubuntu1
libbarby-ruby-doc 0.5.1+14.04.20140409-0ubuntu1
libbash-doc 0.9.11-1
libbatteries-ocaml-doc 2.2-1
libbcel-java-doc 5.2-9build1
libbcmail-java-doc 1.49+dfsg-2
libbcpg-java-doc 1.49+dfsg-2
libbcprov-java-doc 1.49+dfsg-2
libbctsp-java-doc 1.49+dfsg-2
libbeansbinding-java-doc 1.2.1-1
libbetter-appframework-java-doc 1.9-3
libbg1-doc 1.106-1
libbiojava-java-doc 1:1.7.1-4
libbiojava3-java-doc 3.0.7+dfsg-1
libblas-doc 1.2.20110419-7
libblitz-doc 1:0.10-1ubuntu1
libbluray-doc 1:0.5.0-1
libboost-doc 1.54.0.1ubuntu1
libboost1.49-doc 1.54.0.1ubuntu1
libbrailleutils-java-doc 1.2.1-3
libbridge-method-injector-java-doc 1.8-1
libbsf-java-doc 1:2.4.0-5build1
libbuild-helper-maven-plugin-java-doc 1.8-1
libbunny-ruby-doc 0.7.8-1
libbunny-ruby-doc 0.7.8-1
libburn-doc 1.3.4-0ubuntu1
libbytecode-java-doc 0.92.svn.20090106-1.1
libc3p0-java-doc 0.9.1.2-9
libcairo2-doc 1.13.0~20140204-0ubuntu1.1
libcairomm-1.0-doc 1.10.0-1ubuntu3
libcal3d-doc 0.11.0-4.1ubuntu1
libcalendar-ocaml-doc 2.03.2-3
libcamlimages-ocaml-doc 1:4.0.1-8build1
libcanberra-doc 0.30-0ubuntu3
libcastor-java-doc 1.3.2-1
libccfits-doc 2.4-1ubuntu1
libccrtp-doc 2.0.6-3
libccss-doc 0.5.0-4
libcdi-api-java-doc 1.0-1
libcegui-mk2-doc 0.7.6-2ubuntu4
libcext-doc 6.4.1-5
libcfitsio3-doc 3.340-2ubuntu2
libcgicc-doc 3.2.9-3
libcglib-java-doc 2.2.2+dfsg-5
libchamplain-doc 0.12.7-0ubuntu1
libchamplain-gtk-doc 0.12.7-0ubuntu1
libcheese-doc 3.10.2-0ubuntu2
libclam-doc 1.4.0-5.2
libclassworlds-java-doc 1.1-final-5
libclaw-doc 1.7.3-1
libclustalo-doc 1.2.1-1
libclutter-1.0-doc 1.16.4-0ubuntu2
libclutter-gst-doc 1.6.0-2build1
libclutter-gtk-1.0-doc 1.4.4-3ubuntu2.2
libclutter-imcontext-0.1-doc 0.1.4-3
libcobertura-java-doc 1.9.4.1+dfsg-3
libcodemodel-java-doc 2.6-1
libcodenarc-groovy-java-doc 0.17-2
libcogl-doc 1.16.2-1
libcoin60-doc 1.16.2-1
