a56 1.3+dfsg-8
japi-compliance-checker 1.3.5-1
japitools 0.9.7-1
jasmin-sable 2.4.0-3
jgit-cli 3.3.1-1
jhbuild 3.5.91-1
jimsh 0.74-3
jsdoc-toolkit 2.4.0+dfsg-6
jsxgraph 0.98~dfsg1-3
jtb 1.4.4-2
kannel-dev 1.4.3-2fakesync2build1
kapptemplate 4:4.13.3-0ubuntu0.1
kate-syntax-go 2:1.2.1-2ubuntu1
kaya 0.4.4-6ubuntu3
kbuild 1:0.1.9998svn2695+dfsg-1
kcachegrind 4:4.13.3-0ubuntu0.1
kcachegrind-converters 4:4.13.3-0ubuntu0.1
kcov 11-1
kdbg 2.5.4-1
kdemultimedia-dev 4:4.13.3-0ubuntu0.1
kdesdk-dolphin-plugins 4:4.13.3-0ubuntu0.1
kdesdk-kio-plugins 4:4.13.0-0ubuntu1
kdesdk-misc 4:4.13.0-0ubuntu1
kdesdk-scripts 4:4.13.0-0ubuntu1.1
kdevelop-pg-qt 1.0.0-2ubuntu1
kdevelop-php 1.6.0-0ubuntu1
kdevelop-php-docs 1.6.0-0ubuntu1
kdiff3-qt 0.9.97-3
kdump-tools 1.5.5-2ubuntu1.1
kelbt 0.15-1
kerneltop 0.91-1
ketchup 1.0.1+git20111228+e1c62066-1
kgb-bot 1.31-1ubuntu1
kgb-client 1.31-1ubuntu1
kgb-client-git 1.31-1ubuntu1
kimwitu 4.6.1-7.1
kimwitu++ 2.3.13-2
kmtrace 4:4.13.0-0ubuntu1
kommander 4:4.13.0-0ubuntu1
kompare 4:4.13.0-0ubuntu1
kpartloader 4:4.13.0-0ubuntu1
kturtle 4:4.13.0-0ubuntu1
kuipc 20061220+dfsg3-4
kuiviewer 4:4.13.0-0ubuntu1
kwstyle 1.0.0+cvs20120330-3
lam4-dev 7.1.4-3.1
lazarus 1.0.10+dfsg-1
lazarus 1.0.10+dfsg-1
lazarus-0.9.30.4 1.0.10+dfsg-1
lazarus-ide 1.0.10+dfsg-1
lazarus-ide 1.0.10+dfsg-1
lazarus-ide-0.9.30.4 1.0.10+dfsg-1
lazarus-ide-gtk2 1.0.10+dfsg-1
lazarus-ide-gtk2 1.0.10+dfsg-1
lazarus-ide-gtk2-0.9.30.4 1.0.10+dfsg-1
lazarus-ide-qt4 1.0.10+dfsg-1
lazarus-ide-qt4 1.0.10+dfsg-1
lazarus-ide-qt4-0.9.30.4 1.0.10+dfsg-1
lazarus-src 1.0.10+dfsg-1
lazarus-src 1.0.10+dfsg-1
lazarus-src-0.9.30.4 1.0.10+dfsg-1
lcl 1.0.10+dfsg-1
lcl 1.0.10+dfsg-1
lcl-0.9.30.4 1.0.10+dfsg-1
