a2ps 1:4.14-1.3
openoffice.org-hyphenation-sl 1.2.1-4
openoffice.org-hyphenation-sr 1.2.1-4
openoffice.org-hyphenation-sr 1.2.1-4
openoffice.org-hyphenation-zu 1.2.1-4
openoffice.org-thesaurus-ca 1.2.1-4
openoffice.org-thesaurus-ca 1.2.1-4
openoffice.org-thesaurus-cs 1.2.1-4
openoffice.org-thesaurus-cs 1.2.1-4
openoffice.org-thesaurus-de 1.2.1-4
openoffice.org-thesaurus-de 1.2.1-4
openoffice.org-thesaurus-de-ch 1.2.1-4
openoffice.org-thesaurus-de-ch 1.2.1-4
openoffice.org-thesaurus-en-us 1.2.1-4
openoffice.org-thesaurus-en-us 1.2.1-4
openoffice.org-thesaurus-fr 1.2.1-4
openoffice.org-thesaurus-fr 1.2.1-4
openoffice.org-thesaurus-hu 1.2.1-4
openoffice.org-thesaurus-hu 1.2.1-4
openoffice.org-thesaurus-it 1.2.1-4
openoffice.org-thesaurus-ne 1.2.1-4
openoffice.org-thesaurus-ne 1.2.1-4
openoffice.org-thesaurus-pl 1.2.1-4
openoffice.org-thesaurus-pl 1.2.1-4
openoffice.org-thesaurus-ro 1.2.1-4
openoffice.org-thesaurus-ro 1.2.1-4
openoffice.org-thesaurus-ru 1.2.1-4
openoffice.org-thesaurus-ru 1.2.1-4
openoffice.org-thesaurus-sk 1.2.1-4
openoffice.org-thesaurus-sk 1.2.1-4
openoffice.org-voikko 1.2.1-4
openoffice.org-writer2latex 1.2.1-4
openoffice.org-writer2xhtml 1.2.1-4
openoffice.org-zemberek 1.2.1-4
openprinting-ppds 20140410-0ubuntu1
openprinting-ppds-extra 20140410-0ubuntu1
openprinting-ppds-extra 20140410-0ubuntu1
opensaml2-schemas 2.5.3-2
opensaml2-tools 2.5.3-2
opensp 1.5.2-10ubuntu3
openthesaurus-de-text 20120516-2
page-crunch 1.0.1-3
pandoc 1.12.2.1-1build2
paps 0.6.8-7
par 1.52-3
parsewiki 0.4.3-1
patchutils 0.3.2-3
pdf2djvu 0.7.17-3ubuntu2
pdfchain 1:0.4.0-1
pdfcube 0.0.5-2
pdfresurrect 0.12-4
pdfsam 1.1.4-2
pdftk 2.01-1
plywood 2.01-1
po4a 0.45-1
poedit 1.5.4-1build1
poster 1:20050907-1
pptview 1:20050907-1
prime 1:20050907-1
prime-dict 1:20050907-1
printer-driver-all 0.20140108
printer-driver-all-enforce 0.20140108
printer-driver-c2050 0.3b-4
printer-driver-c2esp 27~rc1-1
printer-driver-cjet 0.8.9-4
printer-driver-escpr 1.3.0-1
printer-driver-foo2zjs 20140209dfsg0-1ubuntu1
printer-driver-hpcups 3.14.3-0ubuntu3.2
printer-driver-hpijs 3.14.3-0ubuntu3.2
printer-driver-m2300w 0.51-11
printer-driver-min12xxw 0.0.9-8ubuntu1
printer-driver-pnm2ppa 1.13+nondbs-0ubuntu4
printer-driver-ptouch 1.3-8
printer-driver-pxljr 1.4+repack0-3
printer-driver-sag-gdi 0.1-3
printer-driver-splix 2.0.0+svn315-2fakesync1
printfilters-ppd 2.13-11.1
ps2eps 1.68-1build1
psgml 1.4.0-5
psrip 1.3-7
pstotext 1.9-6
psutils 1.17.dfsg-1
ptex2tex 0.4-1
publican-debian 0.3
python-cheetah 2.4.4-3.fakesyncbuild1
qdacco 0.8.2-1ubuntu1
qpdf 5.1.1-1
raptor-utils 1.4.21-10
raptor2-utils 2.0.13-1
rasqal-utils 0.9.32-1
rdtool 0.6.38-2
rdtool-elisp 0.6.38-2
re 0.1-5build2
recode 3.6-21
redland-utils 1.0.17-1
rednotebook 1.4.0-1
rman 3.2-7
rmligs-german 20120607-1
roffit 0.7~20120815+gitbbf62e6-1
rotix 0.83-4.1
rsstail 1.8-1
rttool 1.0.3.0-4
rxp 1.5.0-2ubuntu1
s5 1.1.dfsg.2-5
sary 1.1.dfsg.2-5
scowl 7.1-1
screader 1.8-7
sdf 2.001+1-3
sdic 2.1.3-22
sdic-edict 2.1.3-22
sdic-eijiro 2.1.3-22
sdic-gene95 2.1.3-22
sdop 0.80-1
seetxt 0.72-5
serdi 0.18.2~dfsg0-2
sgml-base 1.26+nmu4ubuntu1
sgml-data 2.0.9-1
sgml-spell-checker 0.0.20040919-3
sgml2x 1.0.0-11.3
sgmlspl 1.03ii-32
sgmltools-lite 3.0.3.0.cvs.20010909-17
sgrep 1.94a-4
shibboleth-sp2-schemas 2.5.2+dfsg-2
since 1.1-3
sisu 5.3.2-1
sisu-complete 5.3.2-1
sisu-markup-samples 4.2.0-1
sisu-pdf 5.3.2-1
sisu-postgresql 5.3.2-1
sisu-sqlite 5.3.2-1
slice 1.3.8-12
sordi 0.12.0~dfsg0-3
sp 1.3.4-1.2.1-47.3ubuntu1
spell 1.0-24
spellutils 0.7-5ubuntu1
stardict-czech 20140101-1
stardict-english-czech 20140101-1
stardict-german-czech 20140101-1
stardict-xmlittre 1:1.0-1
stx2any 1.56-2
suikyo-table 1.56-2
swath 0.5.2-1
sword-comm-mhcc 1.1-4
sword-comm-scofield 1.0-4
sword-comm-tdavid 1.1-4
sword-dict-naves 1.1-3
sword-dict-strongs-greek 1.2-4
sword-dict-strongs-hebrew 1.2-4
sword-text-kjv 2.5-1
sword-text-sparv 1.6-1
sword-text-web 1.4-3
sylseg-sk 0.7.1-1
t1utils 1.37-2ubuntu1
t2html 2010.0302+gitbec03e2-2
tcs 1-11
texi2html 1.82+dfsg1-3
texinfo 5.2.0.dfsg.1-2
tmexpand 0.1.2.0-3
tmispell-voikko 0.7.1-3
tnef 1.4.9-1
toilet 0.3-1
trang 20131210+dfsg+1-1
trans-de-en 1.7-2ubuntu1
translate 0.6-11
translate-docformat 0.6-5
tre-agrep 0.8.0-3ubuntu1
troffcvt 1.04-21
trueprint 5.3-4.1
txt2html 2.51-1
txt2man 1.5.5-4.1
txt2tags 2.6-3.1
txtreader 0.6.5-1
udo 6.4.1-1
unhtml 2.3.9-3
uni2ascii 4.18-2
unoconv 0.6-6
unrtf 0.21.5-1
unsort 1.1.2-1
vera 1.20-1
verbiste 0.1.41-1
vilistextum 2.6.9-1.1
voikko-fi 1.15-1
vtprint 2.0.2-13
w3-dtd-mathml 2.0.0.0-5
w3c-dtd-xhtml 1.2-4
w3c-sgml-lib 1.3-1
wamerican 7.1-1
wamerican-huge 7.1-1
wamerican-insane 7.1-1
wamerican-large 7.1-1
wamerican-small 7.1-1
wbrazilian 3.0~beta4-15
wbritish 7.1-1
wbritish-huge 7.1-1
wbritish-insane 7.1-1
wbritish-large 7.1-1
wbritish-small 7.1-1
wbulgarian 4.1-3ubuntu1
wcanadian 7.1-1
wcanadian-huge 7.1-1
wcanadian-insane 7.1-1
wcanadian-large 7.1-1
wcanadian-small 7.1-1
wcatalan 0.20111230b-4
wdanish 1.6.25-1.1
wdiff 1.2.1-2
wdutch 1:2.10-1
wfaroese 0.4.2-1
wfinnish 0.4.2-1
wfrench 1.2.3-10
wgaelic 0.50-10
wgalician-minimos 0.5-35
wgerman-medical 20110608-1
whyteboard 0.41.1-4build1
wiki2beamer 0.9.5-1
wikipedia2text 0.11-3
wirish 2.0-22
witalian 1.7.5ubuntu1
wmanx 0.50-11
wngerman 20120607-1
wnorwegian 2.0.10-5.1
wogerman 1:2-28
wordnet 1:3.0-32
wordnet-base 1:3.0-32
wordnet-grind 1:3.0-32
wordnet-gui 1:3.0-32
wordnet-sense-index 1:3.0-32
wp2x 2.5-mhi-10.1
wpolish 20130519-1
wportuguese 20140102-1
wpp 2.13.1.35-3
writer2latex 1.0.2-10ubuntu1
wspanish 1.0.26
wswedish 1.4.5-2.1
wswiss 20120607-1
wukrainian 1.6.5-2
wv 1.2.9-3
xalan 1.11-3
xfpt 0.09-1
xhtml2ps 1.0b7-1
xindy 2.4-1.3
xindy-rules 2.4-1.3
xjdic 24-8
xless 1.7-14.2
xml-core 0.13+nmu2
xml2rfc 2.4.7-1~ubuntu14.04.1
