0ad-dbg 0.0.16-2~ubuntu14.04.1
libc0.1-dbg 1.3.4-0ubuntu1
libcairo2-dbg 1.13.0~20140204-0ubuntu1.1
libcanberra-gstreamer-dbg 0.30-0ubuntu3
libcanberra-gtk-module-dbg 0.30-0ubuntu3
libcanberra-gtk0-dbg 0.30-0ubuntu3
libcanberra-gtk3-0-dbg 0.30-0ubuntu3
libcanberra-gtk3-module-dbg 0.30-0ubuntu3
libcanberra-pulse-dbg 0.30-0ubuntu3
libcanberra0-dbg 0.30-0ubuntu3
libcaribou-dbg 0.4.13-0ubuntu1
libcaribou-gtk-module-dbg 0.4.13-0ubuntu1
libcaribou-gtk3-module-dbg 0.4.13-0ubuntu1
libccss-1-5-dbg 0.5.0-4
libcdaudio-dbg 0.99.12p2-13
libcegui-mk2-0.7.6-dbg 0.7.6-2ubuntu4
libcfitsio3-dbg 3.340-2ubuntu2
libcgns3.1-dbg 3.1.4.2-1
libchamplain-0.12-dbg 0.12.7-0ubuntu1
libchamplain-gtk-0.12-dbg 0.12.7-0ubuntu1
libchewing3-dbg 0.3.5-4build1
libchipmunk0d1-dbg 0.3.5-4build1
libcitadel3-dbg 0.3.5-4build1
libclutter-1.0-dbg 1.16.4-0ubuntu2
libclutter-gst-1.0-dbg 1.6.0-2build1
libclutter-gtk-1.0-dbg 1.4.4-3ubuntu2.2
libclutter-imcontext-0.1-0-dbg 0.1.4-3
libcluttergesture-0.0.2-0-dbg 0.0.2.1-7
libcogl-pango0-dbg 0.0.2.1-7
libcogl9-dbg 0.0.2.1-7
libcommoncpp2-dbg 1.8.1-6ubuntu1
libconfig++-dbg 1.4.9-2
libconfig-dbg 1.4.9-2
libcontactsdb0-dbg 1.4.9-2
libcos4-1-dbg 4.1.6-2
libcr-dbg 0.8.5-2.1
libcrypto++9-dbg 5.6.1-6
libcsfml1.6-dbg 5.6.1-6
libcsoap1-dbg 1.1.0-17.2
libcuba3-dbg 3.0+20111124-2
libcwidget3-dbg 0.5.16-3.5ubuntu1
libcxgb3-1-dbg 1.3.1-1
libdaemon0-dbg 0.14-2ubuntu1
libdb5.1-dbg 5.1.29-7ubuntu1
libdbus-c++-dbg 0.9.0-6ubuntu1
libdbus-glib-1-2-dbg 0.100.2-1
libdbusada0.2-dbg 0.2-2
libdc1394-22-dbg 2.2.1-2ubuntu2
libdconf-dbg 0.20.0-1
libdconf-dbus-1-dbg 0.20.0-1
libdee-1.0-4-dbg 1.2.7+14.04.20140324-0ubuntu1
libdesktop-agnostic0-dbg 0.3.92+dfsg-1
libdirectfb-1.2-9-dbg 1.2.10.0-5
libdirectfb-bin-dbg 1.2.10.0-5
libdirectfb-extra-dbg 1.2.10.0-5
libdisplaymigration0-dbg 0.28-10
libdkim1d-dbg 1:1.0.21-3build1
libdmx1-dbg 1:1.1.3-1
libdolfin1.0-dbg 1:1.1.3-1
libdrawtk0-dbg 2.0-2ubuntu1
libdrizzle-dbg 1:7.2.3-2ubuntu2
libdrm-intel1-dbg 2.4.56-1~ubuntu2
libdrm-nouveau1a-dbg 2.4.56-1~ubuntu2
libdrm-omap1-dbg 2.4.56-1~ubuntu2
libdrm-radeon1-dbg 2.4.56-1~ubuntu2
libdrm2-dbg 2.4.56-1~ubuntu2
libdrumstick-dbg 0.5.0-3
libdspam7-dbg 3.10.2+dfsg-13
libdune-common-dbg 2.2.1-2
libdune-geometry-dbg 2.2.1-2ubuntu2
libdune-grid-dbg 2.2.1-2
libdvdnav-dbg 4.2.1-3
libdvdread-dbg 4.2.1-2ubuntu1
libdxflib-2.2.0.0-dbg 4.2.1-2ubuntu1
libechonest-dbg 2.1.0-2
libecore-dbg 1.7.7-2ubuntu1
libedac1-dbg 0.18-1
libedje-dbg 1.7.7-3ubuntu1
libeegdev0-dbg 0.2-3.1
libeet-dbg 1.7.9-1
libegl1-mesa-dbg 10.1.3-0ubuntu0.4
libegl1-mesa-drivers-dbg 10.1.3-0ubuntu0.4
libeina-dbg 1.7.10-1
libeiskaltdcpp2.2-dbg 2.2.9-3
libelementary-dbg 1.7.7-3ubuntu1
libelmersolver-dbg 6.1.0.svn.5396.dfsg2-4ubuntu1
libembryo-dbg 1.7.7-2
libenca-dbg 1.15-2
libenet1a-dbg 1.15-2
liberis-1.3-19-dbg 1.3.19-5ubuntu2
libetpan-dbg 1.0-5ubuntu3
libevas-dbg 1.7.9-2
libevent-dbg 2.0.21-stable-1ubuntu1.14.04.1
libeventdb2-dbg 2.0.21-stable-1ubuntu1.14.04.1
libevtlog0-dbg 0.2.12-6
libewf-dbg 20130416-3
libexempi3-dbg 2.2.1-1ubuntu1
libexiv2-dbg 0.23-1ubuntu2
libexo-1-0-dbg 0.10.2-3ubuntu1.14.04.2
libexplain30-dbg 0.52.D002-1
libextractor-dbg 1:1.3-1
libextractor-java-dbg 0.6.0-6
libfalcon-engine1-dbg 0.9.6.9-git20120606-2
libfann-dbg 2.1.0~beta~dfsg-8ubuntu1
libfarstream-0.1-dbg 0.1.2-1ubuntu3
libfbclient2-dbg 2.5.2.26540.ds4-9ubuntu1
libffi5-dbg 2.5.2.26540.ds4-9ubuntu1
libfftw3-dbg 3.3.3-7ubuntu3
libfishsound1-dbg 1.0.0-1.1ubuntu2
libfko0-dbg 1.0.0-1.1ubuntu2
libflorist-dbg 2011-1
libfltk1.1-dbg 1.1.10-17
libfltk1.3-dbg 1.3.2-4
libfm1-dbg 1.3.2-4
libfolks-dbg 0.9.5-1ubuntu5
libfolks-eds-dbg 0.9.5-1ubuntu5
libfolks-telepathy-dbg 0.9.5-1ubuntu5
libfontconfig1-dbg 2.11.0-0ubuntu4.1
libfontenc1-dbg 1:1.1.2-1
libfreeimage3-dbg 3.15.4-3
libfreexl1-dbg 1.0.0g-1ubuntu0.14.04.1
libfs6-dbg 2:1.0.5-1
libfso-glib-dbg 2012.07.27.2-2
libfsobasics-dbg 2012.07.27.2-2
libfsoframework-dbg 0.12.0-4
libfsoresource-dbg 0.12.0-4
libfsosystem-dbg 0.12.0-4
libfsotransport-dbg 0.12.0-4
libfstrcmp0-dbg 0.6.D001-1ubuntu2
libftdi1-dbg 0.20-1ubuntu1
libftdipp1-dbg 0.20-1ubuntu1
