a2jmidid 8~dfsg0-1
lv2-examples 1.8.0~dfsg0-1
lv2core 6.0+dfsg0-2
lv2fil 2.0+20100312.git18130f5a+dfsg0-2
lv2file 0.83-1
lv2proc 0.5.0-2
lv2vocoder 1-3
lxmms2 0.1.3-2
lxmusic 0.4.5-1
madfuload 1.2-4ubuntu1
madplay 0.15.2b-8
mbrola 3.01h+1-1
mbrola-af1 0.0.20040426-2
mbrola-br1 2.021-1
mbrola-br3 2.021-2
mbrola-cr1 0.0.19981028-2
mbrola-cz2 0.2-2
mbrola-de4 0.0.20020812-1
mbrola-de5 1.0-1
mbrola-de6 0.0.20021125-2
mbrola-de7 0.0.20030404-2
mbrola-ee1 0.0.20020407-1
mbrola-en1 19980910-2
mbrola-es1 0.0.19980610-2
mbrola-es2 2.069-1
mbrola-fr1 2.050-1
mbrola-fr4 0.0.19990521-2
mbrola-gr1 19990610-1
mbrola-gr2 0.0.20010521-2
mbrola-hu1 1.002-2
mbrola-id1 1-2
mbrola-it3 0.1-2
mbrola-it4 0.1-2
mbrola-la1 0.0.20050615-2
mbrola-mx2 0.1-1
mbrola-nl2 0.5-2
mbrola-pl1 0.1-2
mbrola-pt1 1.0-2
mbrola-ro1 1.00-2
mbrola-sw1 1.00-2
mbrola-sw2 1.0-2
mbrola-us1 0.3-2
mbrola-us2 0.1-2
mbrola-us3 0.1-1
mbrola-vz1 2-1
mcdp 2-1
mcp-plugins 0.4.0-2
mda-lv2 1.0.0~dfsg0-1
meterbridge 0.9.2-11
meterec 0.9.2~ds0-1
mhwaveedit 1.4.23-1
midge 0.2.41-2
mididings 0~20120419~ds0-4
midish 1.0.4-1.1
midisport-firmware 1.2+dsfg1-0ubuntu6
mikmod 3.2.1-4
milkytracker 0.90.85+dfsg-2.2
mixxx 1.10.1~dfsg0-1
mixxx-data 1.10.1~dfsg0-1
mkcue 1-4
moc 1:2.5.0~beta1+svn20131120-1
moc-ffmpeg-plugin 1:2.5.0~beta1+svn20131120-1
modplug-tools 0.5.3-1
monobristol 0.60.3-2.1ubuntu1
moodbar 0.1.2-5
moosic 1.5.6-1
mp3blaster 1:3.2.5-3ubuntu1
mp3burn 0.4.2-2.2
mp3cd 1.27.0-2
mp3check 0.8.7-2
mp3diags 1.0.12.079-2build1
mp3gain 1.5.2-r2-6
mp3info 0.8.5a-1
mp3info-gtk 0.8.5a-1
mp3rename 0.6-9
mp3roaster 0.3.0-6
mp3splt 2.4.2-2
mp3splt-gtk 0.7.2-2ubuntu1
mp3val 0.1.8-3
mp3wrap 0.5-3
mp4v2-utils 2.0.0~dfsg0-2
mpc 0.25-1
mpc123 0.2.4-3
mpd 0.18.7-1
mpd-sima 0.10.0-2
mpdcron 0.3+git20110303-4
mpdris 0.3+git20110303-4
mpdscribble 0.22-4
mpdtoys 0.24
mpegdemux 0.1.4-3
mpg123 1.16.0-1ubuntu1
mpg123 1.16.0-1ubuntu1
mpg321 0.3.2-1.1
mpgtx 1.3.1-5
mppenc 1.16-1.1
mudita24 1.0.3+svn13-4
mumble 1.2.4-0.2ubuntu1.1
mumble-server 1.2.4-0.2ubuntu1.1
muroard 0.1.14-1
muse 2.1.2-1
musepack-tools 2:0.1~r459-1ubuntu3
musescore 1.3+dfsg-1
musescore-common 1.3+dfsg-1
musescore-soundfont-gm 1.3+dfsg-1
music123 16.3-4
musiclibrarian 1.6-2.2
musique 1.1-2.1
mustang-plug 1.1-2
nama 1.078-2
nas 1.9.4-1
nas-bin 1.9.4-1
ncmpc 0.17-1ubuntu1
ncmpc-lyrics 0.17-1ubuntu1
ncmpcpp 0.5.10-1.1
nekobee 0.1.7-4
normalize-audio 0.7.7-12
nted 1.10.18-8
nyquist 3.05-2ubuntu1
oggconvert 0.3.3-2ubuntu1
oggfwd 0.2-6
oidua 0.16.1-7
omins 0.2.0-7.1ubuntu2
open-jtalk 1.07-2
opencubicplayer 1:0.1.21-1.1
opus-tools 0.1.8-1
oss-compat 6
oss4-base 4.2-build2007-2.1
oss4-gtk 4.2-build2007-2.1
oss4-source 4.2-build2007-2.1
pacpl 4.0.5-7.1
paman 0.9.4-1ubuntu3
paprefs 0.9.10-1
patchage 0.5.0+dfsg0-0.1
paulstretch 2.2-2-2
pavucontrol 2.0-2
pavumeter 0.9.3-4
pd-arraysize 0.1-2
pd-aubio 0.4-1
pd-bassemu 0.3-3
pd-beatpipe 0.1-3
pd-boids 1.1.1-2
pd-bsaylor 0.1-3
pd-comport 0.2-1
pd-csound 1:6.02~dfsg-1
pd-cxc 0.5.2-1
pd-cyclone 0.1~alpha55-6
pd-earplug 0.2-3
pd-ekext 0.1.1-2
pd-ext13 0.17.1-2
pd-flite 0.02.3-1
pd-freeverb 1.2-3
pd-ggee 0.26-3
pd-hcs 0.1-2
pd-hid 0.7-1
pd-iemambi 0.2-3
pd-iemmatrix 0.2-1
pd-iemnet 0.1-3
pd-jmmmp 0.1.1-1
pd-libdir 1.9-3
pd-list-abs 0.1-1
pd-mapping 0.2.1-1
pd-markex 0.85-2
pd-maxlib 1.5.5-1
pd-mjlib 0.1.1-3
pd-moonlib 0.2-2
pd-motex 1.1.4-3
pd-osc 0.1-2
pd-pan 0.1.2-1
pd-pddp 0.2.1-1
pd-pdogg 0.25.1-1
pd-plugin 0.2.1-3
pd-pmpd 0.9-4
pd-purepd 0.1.1-1
pd-readanysf 0.43-1
pd-sigpack 0.0.4.2-2
pd-smlib 0.12.2-1
pd-vbap 1.0.3.2-1
pd-wiimote 0.3.2-2
pd-windowing 0.1-2
pd-zexy 2.2.5-2
petri-foo 0.1.87-2
phasex 0.14.97-2
phonon 4:4.7.80-0ubuntu1~ubuntu14.04
phonon-backend-gstreamer 4:4.7.80-0ubuntu2~ubuntu14.04
phonon-backend-null 4:4.7.80-0ubuntu1~ubuntu14.04
phonon-backend-vlc 0.7.80-0ubuntu1~ubuntu14.04
pianobar 2013.09.15-1
picard 1.2-2
plait 1.6.2-1ubuntu1
playmidi 2.4debian-10
pmidi 1.6.0-5
pms 0.42-1
poc-streamer 0.4.2-3
podracer 1.4-1.1
projectm-jack 2.1.0+dfsg-1build2
projectm-pulseaudio 2.1.0+dfsg-1build2
promoe 0.1.1-3
puddletag 1.0.2-1
pulseaudio 1:4.0-0ubuntu11.1
pulseaudio-esound-compat 1:4.0-0ubuntu11.1
pulseaudio-module-bluetooth 1:4.0-0ubuntu11.1
pulseaudio-module-gconf 1:4.0-0ubuntu11.1
pulseaudio-module-jack 1:4.0-0ubuntu11.1
pulseaudio-module-lirc 1:4.0-0ubuntu11.1
pulseaudio-module-raop 1:4.0-0ubuntu11.1
pulseaudio-module-x11 1:4.0-0ubuntu11.1
pulseaudio-module-zeroconf 1:4.0-0ubuntu11.1
pulseaudio-utils 1:4.0-0ubuntu11.1
puredata 0.45.4-1
puredata-core 0.45.4-1
puredata-extra 0.45.4-1
puredata-gui 0.45.4-1
puredata-import 1.3-3
pygmy 1.3-3
python-eyed3 0.6.18-1
pytone 3.0.3-0ubuntu1
qasconfig 0.17.2-2
qashctl 0.17.2-2
qasmixer 0.17.2-2
qastools-common 0.17.2-2
qjackctl 0.3.10-2
qjackrcd 1.0.6~ds0-1
qmidiarp 0.6.0-1
qmidinet 0.1.2-1
qmidiroute 0.3.0-1
qmmp 0.7.4-1
qmmp-plugin-projectm 0.7.4-1
qmpdclient 1.2.2-2
qsampler 0.2.2-5
qsynth 0.3.8-1
qtractor 0.5.11-3
qtscrob 0.11+git-2
quelcom 0.4.0-13
quodlibet 3.0.2-3
quodlibet-plugins 1:3.0.2-1
qutecsound 0.8.2~dfsg-1
radio 3.103-3
radiotray 0.7.3-1ubuntu1
rakarrack 0.6.1-4
randomplay 0.60+nmu1
recite 1.0-8.2
remuco-amarok 0.9.6-2
remuco-audacious 0.9.6-2
remuco-banshee 0.9.6-2
remuco-base 0.9.6-2
remuco-clementine 0.9.6-2
remuco-exaile 0.9.6-2
remuco-gmusicbrowser 0.9.6-2
remuco-mpd 0.9.6-2
remuco-mplayer 0.9.6-2
remuco-okular 0.9.6-2
remuco-quodlibet 0.9.6-2
remuco-totem 0.9.6-2
remuco-tvtime 0.9.6-2
remuco-vlc 0.9.6-2
remuco-xmms2 0.9.6-2
rev-plugins 0.6.1-1
rexima 1.4-7
rio 1.07-11.1
ripit 3.9.0-2ubuntu1
ripperx 2.7.3-1.1
roaraudio 1.0~beta11-1
roarclients 1.0~beta11-1
roarplaylistd 0.1.9-1
roarplaylistd-codechelper-gst 0.1.9-1
roarplaylistd-tools 0.1.9-1
rosegarden 1:13.06-1
rotter 0.9-3
rplay-client 3.3.2-14
rplay-contrib 3.3.2-14
rplay-server 3.3.2-14
rubberband-cli 1.8.1-4
rubberband-ladspa 1.8.1-4
rubberband-vamp 1.8.1-4
rumor 1.0.5-1build1
saytime 1.0-25
schism 2:0+20110101-1build1
scrobble-cli 0.11+git-2
seq24 0.9.2-2build1
sfront 0.98-1
shell-fm 0.7+git20100414-2
showq 0.4.1+git20090622+dfsg0-1
sidplay 2.0.9-6ubuntu1
sidplay-base 1.0.9-6
sidplayfp 1.1.0.1-1
siggen 2.3.10-5
silentjack 0.3-2
sineshaper 0.4.2-7ubuntu1
slv2-jack 0.6.6+dfsg1-2
smf-utils 1.3-2ubuntu1
snd 11.7-3
snd-gtk 11.7-3
snd-gtk 11.7-3
snd-gtk-jack 11.7-3
snd-gtk-pulse 11.7-3
snd-nox 11.7-3
snd-nox-alsa 11.7-3
snd-nox-alsa 11.7-3
sndfile-tools 1.03-7
so-synth-lv2 1.4-2
sonata 1.6.2.1-5.1
songwrite 0.14-9
sonic 0.1.18-0ubuntu1
sooperlooper 1.7.0~dfsg0-2
sound-icons 0.1-3
sound-theme-freedesktop 0.8-1
soundstretch 1.7.1-5
sox 14.4.1-3ubuntu1
specimen 0.5.2rc3-6
speech-dispatcher 0.8-5ubuntu1
speech-dispatcher-festival 0.8-5ubuntu1
speech-tools 1:2.1~release-6
speex 1.2~rc1.1-1ubuntu1
spek 0.8.2-3build1
splay 0.9.5.2-13
stk 4.4.4-4
stops 0.3.0-1
streamripper 1.64.6-1
streamtuner2 2.0.8-5
stretchplayer 0.503-2
stymulator 0.21a~dfsg-1build1
supercollider 1:3.6.3~repack-5
supercollider-common 1:3.6.3~repack-5
supercollider-dev 1:3.6.3~repack-5
supercollider-emacs 1:3.6.3~repack-5
supercollider-server 1:3.6.3~repack-5
