alice 0.19-1
libclass-std-fast-perl 0.0.8-1
libclass-std-perl 0.011-1
libclass-std-utils-perl 0.0.3-1
libclass-throwable-perl 0.10-2
libclass-trait-perl 0.31-4
libclass-trigger-perl 0.14-1
libclass-unload-perl 0.08-1
libclass-virtual-perl 0.06-3
libclass-whitehole-perl 0.04-6
libclass-xsaccessor-perl 1.19-1build1
libclearsilver-perl 0.10.5-1.3build1
libclone-fast-perl 0.97-1build1
libclone-perl 0.36-1
libclone-pp-perl 1.02-2
libclutter-perl 1.110-1
libcolor-calc-perl 1.073-1
libcolor-library-perl 0.021-2
libcolor-palette-perl 0.100003-1
libcolor-scheme-perl 1.05-1
libcommon-sense-perl 3.72-2build1
libcompress-bzip2-perl 2.16-1
libcompress-raw-bzip2-perl 2.063-1
libcompress-raw-bzip2-perl 2.063-1
libcompress-raw-zlib-perl 2.063-1
libcompress-raw-zlib-perl 2.063-1
libconfig-any-perl 0.24-1
libconfig-apacheformat-perl 1.2-4
libconfig-augeas-perl 1.000-1build1
libconfig-auto-perl 0.42-1
libconfig-autoconf-perl 0.21-1
libconfig-file-perl 1.50-2
libconfig-general-perl 2.52-1
libconfig-gitlike-perl 1.12-1
libconfig-grammar-perl 1.10-1
libconfig-ini-perl 1:0.021-2
libconfig-inifiles-perl 2.82-1
libconfig-inihash-perl 3.01.01-2
libconfig-jfdi-perl 0.065-1
libconfig-json-perl 1.5100-1
libconfig-merge-perl 1.01-1
libconfig-model-approx-perl 1.009-1
libconfig-model-backend-augeas-perl 0.114-1
libconfig-model-cursesui-perl 1.104-1
libconfig-model-itself-perl 1.239-1
libconfig-model-openssh-perl 1.232-1
libconfig-model-perl 2.047-1
libconfig-model-tkui-perl 1.340-1
libconfig-mvp-perl 2.200006-1
libconfig-mvp-reader-ini-perl 2.101462-1
libconfig-pit-perl 0.04-1
libconfig-record-perl 1.1.2-1
libconfig-scoped-perl 0.22-1
libconfig-simple-perl 4.59-6
libconfig-std-perl 0.901-1
libconfig-tiny-perl 2.20-1
libconfig-yaml-perl 1.42-2
libconfigreader-perl 0.5-5
libconfigreader-simple-perl 1.28-3
libconst-fast-perl 0.014-1
libcontext-preserve-perl 0.01-1
libcontextual-return-perl 0.004007-1
libconvert-ascii-armour-perl 1.4-1
libconvert-asn1-perl 0.26-1
libconvert-base32-perl 0.05-1
libconvert-ber-perl 1.3200-3
libconvert-binary-c-perl 0.76-3build1
libconvert-binhex-perl 1.123-1
libconvert-color-perl 0.10-1
libconvert-nls-date-format-perl 0.05-1
libconvert-pem-perl 0.08-1
libconvert-tnef-perl 0.18-1
libconvert-units-perl 1:0.43-1
libconvert-uulib-perl 1:1.4~dfsg-1build3
libconvert-ytext-perl 0.1.2-1
libcoro-perl 6.330-1
libcourriel-perl 0.31-1
libcoy-perl 0.06-7
libcpan-changes-perl 0.27-1
libcpan-checksums-perl 2.03-1
libcpan-distnameinfo-perl 0.12-1
libcpan-inject-perl 1.14-1
libcpan-meta-check-perl 0.007-1
libcpan-meta-perl 2.133380-2
libcpan-meta-perl 2.133380-2
libcpan-meta-requirements-perl 2.125-1
libcpan-meta-yaml-perl 0.010-1
libcpan-meta-yaml-perl 0.010-1
libcpan-mini-perl 1.111015-1
libcpan-perl-releases-perl 1.62-1
libcpan-uploader-perl 0.103006-1
libcpandb-perl 0.18-1
libcps-perl 0.17-1
libcql-parser-perl 1.12-1
libcriticism-perl 1.02-1
libcrypt-blowfish-perl 2.14-1
libcrypt-cast5-perl 0.05-1build1
libcrypt-cbc-perl 2.33-1
libcrypt-ciphersaber-perl 0.61-4
libcrypt-des-ede3-perl 0.01-1.1
libcrypt-des-perl 2.07-1
libcrypt-dh-gmp-perl 0.00011-1
libcrypt-dh-perl 0.07-1
libcrypt-dsa-perl 1.17-3
libcrypt-ecb-perl 1.45-1
libcrypt-eksblowfish-perl 0.009-1build1
libcrypt-gcrypt-perl 1.26-1build1
libcrypt-generatepassword-perl 0.03-4
libcrypt-gpg-perl 1.52-1
libcrypt-hcesha-perl 0.70-3
libcrypt-mysql-perl 0.04-5build1
libcrypt-openssl-bignum-perl 0.04-4build1
libcrypt-openssl-dsa-perl 0.14-1
libcrypt-openssl-random-perl 0.04-1build6
libcrypt-openssl-rsa-perl 0.28-1build1
libcrypt-openssl-x509-perl 1.8.4-1
libcrypt-passwdmd5-perl 1.3-10
libcrypt-random-source-perl 0.07-1
libcrypt-rc4-perl 2.02-2
libcrypt-rijndael-perl 1.12-1
libcrypt-saltedhash-perl 0.09-1
libcrypt-simple-perl 0.06-6
libcrypt-smbhash-perl 0.12-4
libcrypt-smime-perl 0.10-1build2
libcrypt-ssleay-perl 0.58-1build1
libcrypt-twofish-perl 2.17-1
libcrypt-unixcrypt-perl 1.0-6
libcrypt-unixcrypt-xs-perl 0.10-1
libcrypt-util-perl 0.11-3
libcrypt-x509-perl 0.51-1
libcss-dom-perl 0.15-1
libcss-minifier-perl 0.01-1
libcss-minifier-xs-perl 0.09-1
libcss-packer-perl 1.002001-1
libcss-perl 1.09-1
libcss-squish-perl 0.09-1
libcss-tiny-perl 1.19-1
libcurses-perl 1.28-1build3
libcurses-ui-perl 0.9609-1
libcurses-widgets-perl 1.997-6
libcvs-perl 0.07-4
libcyrus-imap-perl22 0.07-4
libcyrus-imap-perl22 0.07-4
libcyrus-imap-perl24 2.4.17+caldav~beta9-3
libdaemon-control-perl 0.001004-1
libdancer-logger-psgi-perl 0.04-2
libdancer-perl 1.3120+dfsg-1
libdancer-plugin-database-perl 2.09-1
libdancer-plugin-dbic-perl 0.1802-1
libdancer-plugin-flashmessage-perl 0.314-1
libdancer-plugin-rest-perl 0.07-1
