2vcard 0.5-3
inputlirc 23-1
insanity-tools 23-1
insanity-web 23-1
inteltool 0.0+r4091-1.2
iok 2.1.3-1
iozone3 420-3
ipmitool 1.8.13-1ubuntu0.2
iprint 1.3-9
ir-keytable 1.0.1-1
irda-utils 0.9.18-12ubuntu1
irqbalance 1.0.6-2ubuntu0.14.04.1
isdnactivecards 1.0.6-2ubuntu0.14.04.1
isdnlog 1:3.25+dfsg1-3.3ubuntu2
isdnlog-data 1:3.25+dfsg1-3.3ubuntu2
isdnutils-base 1:3.25+dfsg1-3.3ubuntu2
isdnvbox 1:3.25+dfsg1-3.3ubuntu2
isdnvboxclient 1:3.25+dfsg1-3.3ubuntu2
isdnvboxserver 1:3.25+dfsg1-3.3ubuntu2
iselect 1.4.0-2
iucode-tool 1.0.3-1~ubuntu14.04.1
jacksum 1.7.0-2
jardiff 0.2-3
jazip 0.34-15.1
jcal 0.4.1-2
jdresolve 0.6.1-4
jetring 0.20
jhove 1.6+dfsg-1
jigdo-file 0.7.3-3ubuntu3
jigit 1.19-2
jlha-utils 0.1.6-3
jodconverter 2.2.2-8
josm 0.0.svn6502+dfsg3-1
josm-plugins 0.0.svn30137+ds1-1
jovie 4:4.13.3-0ubuntu0.1
joystick 1:1.4.7-1
jparse 1.4.0-3ubuntu1
jscribble 1.7.7-2
jstest-gtk 0.1.1~git20090722-2
jsvc 1.0.15-5ubuntu2
k3b-extrathemes 2.0.2-7ubuntu1
kaccessible 4:4.13.0-0ubuntu1
kacpimon 1:2.0.21-1ubuntu2
kaddressbook 4:4.13.3-0ubuntu0.1
kaptain 1:0.73-1
karma-tools 0.1.2-2.3
kbd 1.15.5-1ubuntu1
kbd 1.15.5-1ubuntu1
kbd-compat 1.15.5-1ubuntu1
kbdcontrol 1.15.5-1ubuntu1
kcharselect 4:4.13.0-0ubuntu1
kcollectd 0.9-2.1build3
kdc2tiff 0.35-9ubuntu1
kdelirc 4:4.13.3-0ubuntu0.1
kdepasswd 4:4.13.3-0ubuntu0.1
kdf 4:4.13.0-0ubuntu1
kedpm 1.0
kedpm-gtk 1.0
keepass2 2.25+dfsg-1ubuntu0.1
keepassx 0.4.3+dfsg-0.1ubuntu1
keepnote 0.7.8-1.1
kernel-wedge 2.87ubuntu1
key-mon 1.17-1ubuntu1
keyanalyze 1.17-1ubuntu1
keyanalyze 1.17-1ubuntu1
keyboard-configuration 1.70ubuntu8
keymapper 0.5.3-10.1build2
keynav 0.20110708.0-2
kfind 4:4.13.3-0ubuntu0.1
kfloppy 4:4.13.0-0ubuntu1
kgb 1.0b4+ds-13.2
kgpg 4:4.13.2-0ubuntu0.1
kinfocenter 4:4.11.11-0ubuntu0.2
kjots 4:4.13.3-0ubuntu0.1
kldutils 4:4.13.3-0ubuntu0.1
kmag 4:4.13.1-0ubuntu0.1
kmfl-keyboards-mywin 2.1.1-3
kmflcomp 0.9.8-1ubuntu1
kmousetool 4:4.13.0-0ubuntu1
kmouth 4:4.13.0-0ubuntu1
kon2 0.3.9b-20ubuntu1
konfont 0.1-8
krb5-auth-dialog 3.8.0-3
kremotecontrol 4:4.13.3-0ubuntu0.1
krusader 1:2.4.0~beta3-2
ksshaskpass 0.5.3-1build2
ksysguard 4:4.11.11-0ubuntu0.2
ksysguardd 4:4.11.11-0ubuntu0.2
ktimer 4:4.13.0-0ubuntu1
ktimetracker 4:4.13.3-0ubuntu0.1
ktrace 4:4.13.3-0ubuntu0.1
kttsd 4:4.13.3-0ubuntu0.1
kttsd 4:4.13.3-0ubuntu0.1
kunststoff 2.0.2-5
kupfer 0+v208-3
kvpnc-data 0.9.6a-2.1
kwalletmanager 4:4.13.3-0ubuntu0.1
lam-runtime 7.1.4-3.1
laptop-detect 0.13.7ubuntu2
laptop-mode-tools 1.64-1ubuntu1
latencytop 0.5ubuntu1
latrace 0.5.11-1
lcab 1.0b12-7
lcd4linux 0.11.0~svn1200-1+fakesync
lcdproc 0.5.5-4
lcdproc-extra-drivers 0.5.5-4
lcrack 20040914-1
ldap2zone 0.2-3.1
ldb-tools 1:1.1.16-1
leave 1.12-2.1
ledger 2.6.2-3.1
lfm 2.3-1ubuntu1
lhasa 0.0.7-2
libatasmart-bin 0.19-3
libavc1394-tools 0.5.4-2
libcap2-bin 1:2.24-0ubuntu2
libccss-tools 0.5.0-4
libcitygml0-bin 0.14+svn128-1+3p0p1+4.1
libcmph-tools 0.9-1ubuntu1
libcrypto++-utils 5.6.1-6
libdap-bin 3.12.0-1
libdbus-c++-bin 0.9.0-6ubuntu1
