libcollection2 0.3.0.1-4
libcolorblind0 0.0.1-1fakesync2
libcolord-gtk1 0.1.25-1.1
libcolord1 1.0.6-1
libcomedi0 0.10.1-1ubuntu2
libcomerr2 1.42.9-3ubuntu1.2
libcompfaceg1 1:1.5.2-5
libconcord2 1:1.5.2-5
libconfdb4 1:1.5.2-5
libconfig++9 1.4.9-2
libconfig9 1.4.9-2
libconfuse-common 2.7-4ubuntu1
libconfuse0 2.7-4ubuntu1
libconsole 2.7-4ubuntu1
libcontactsdb0 2.7-4ubuntu1
libcore++1c2 1.7-12
libcorelinuxc2a 0.4.32-7.3ubuntu1
libcoroipcc4 0.4.32-7.3ubuntu1
libcoroipcs4 0.4.32-7.3ubuntu1
libcorosync4 2.3.3-1ubuntu1
libcos4-1 4.1.6-2
libcoyotl-3.1-4 3.1.0-6ubuntu1
libcpg4 2.3.3-1ubuntu1
libcplcore20 6.4.1-5
libcpldfs20 6.4.1-5
libcpldrs20 6.4.1-5
libcplgasgano20 6.4.1-5
libcplui20 6.4.1-5
libcppcutter0 1.1.7-1.2ubuntu3
libcppunit-1.12-1 1.1.7-1.2ubuntu3
libcppunit-subunit0 0.0.18-0ubuntu7
libcpufreq0 008-1
libcpuset1 1.0-4
libcqrlib2 1.1.2-2
libcr0 0.8.5-2.1
libcrack2 2.9.1-1build1
libcrmcluster1 2.9.1-1build1
libcrmcommon2 2.9.1-1build1
libcroco-tools 0.6.8-2ubuntu1
libcroco3 0.6.8-2ubuntu1
libcrypto++9 5.6.1-6
libcryptsetup4 2:1.6.1-1ubuntu1
libcryptui0a 3.8.0-1
libcrystalhd3 1:0.0~git20110715.fdd2f19-9ubuntu1
libcsfml-audio1.6 1:0.0~git20110715.fdd2f19-9ubuntu1
libcsfml-graphics1.6 1:0.0~git20110715.fdd2f19-9ubuntu1
libcsfml-network1.6 1:0.0~git20110715.fdd2f19-9ubuntu1
libcsfml-system1.6 1:0.0~git20110715.fdd2f19-9ubuntu1
libcsfml-window1.6 1:0.0~git20110715.fdd2f19-9ubuntu1
libcsiro0 5.10.0-0ubuntu5
libcsnd5.2 5.10.0-0ubuntu5
libcsoap1 1.1.0-17.2
libcsound64-5.2 1.1.0-17.2
libcsoundac5.2 1.1.0-17.2
libcsparse2.2.3 1.1.0-17.2
libcss-parser-pp0 0.85-3
libcss-parser0 0.85-3
libct4 0.91-5
libctapimkt0 0.91-5
libctemplate2 2.2-4ubuntu3
libctl3 3.1.0-5ubuntu1
libctpl2 0.3.3.dfsg-4
libcuba3 3.0+20111124-2
libcublas4 3.0+20111124-2
libcuda1 3.0+20111124-2
libcudart4 3.0+20111124-2
libcue1 1.4.0-1
libcufft4 1.4.0-1
libcuinj4 1.4.0-1
libcuneiform0 1.1.0+dfsg-4
libcunit1 2.1-2.dfsg-1
libcunit1-ncurses 2.1-2.dfsg-1
libcups2 1.7.2-0ubuntu1.5
libcupscgi1 1.7.2-0ubuntu1.5
libcupsdriver1 1.7.2-0ubuntu1.5
libcupsfilters1 1.0.52-0ubuntu1.4
libcupsimage2 1.7.2-0ubuntu1.5
libcupsmime1 1.7.2-0ubuntu1.5
libcupsppdc1 1.7.2-0ubuntu1.5
libcupt2-0 1.7.2-0ubuntu1.5
libcupti4 1.7.2-0ubuntu1.5
libcurand4 1.7.2-0ubuntu1.5
libcurl3 7.35.0-1ubuntu2.3
libcurl3-gnutls 7.35.0-1ubuntu2.3
libcurl3-nss 7.35.0-1ubuntu2.3
