bundler 1.3.5-2ubuntu1
rubygems 1.9.3.484-2ubuntu1.2
rubygems-integration 1.5
rubygems1.8 1.5
rubygems1.8 1.5
shelr 0.16.2-1
stompserver 0.9.9gem-3
syncache 1.2-1
treetop 1.4.14-2
unicorn 4.7.0-1
whatweb 0.4.8~git20130516-1
yard 0.8.7.3-2
