9menu 1.8-6
x11proto-fonts-dev 2.1.3-1~ubuntu2
x11proto-gl-dev 1.4.17-1
x11proto-input-dev 2.3-1
x11proto-kb-dev 1.0.6-2
x11proto-print-dev 1.0.5-2
x11proto-randr-dev 1.4.0+git20120101.is.really.1.4.0-0ubuntu1
x11proto-record-dev 1.14.2-1
x11proto-render-dev 2:0.11.1-2
x11proto-resource-dev 1.2.0-3
x11proto-scrnsaver-dev 1.2.2-1
x11proto-video-dev 2.3.2-1
x11proto-xcmisc-dev 1.2.2-1
x11proto-xext-dev 7.3.0-1
x11proto-xf86bigfont-dev 1.2.0-3
x11proto-xf86dga-dev 2.1-3
x11proto-xf86dri-dev 2.1.1-2
x11proto-xf86vidmode-dev 2.3.1-2
x11proto-xinerama-dev 1.2.1-2
x11vnc 0.9.13-1.1
x11vnc-data 0.9.13-1.1
x2goclient 4.0.1.1-1ubuntu2
x2goplugin 4.0.1.1-1ubuntu2
x2vnc 1.7.2-5
x2x 1.30-2
xapm 3.2.2-14build1
xarchiver 1:0.5.2+20130119+dfsg-5
xarclock 1.0-13
xauth 1:1.0.7-1ubuntu1
xautolock 1:2.2-4
xautomation 1.03-1.1
xaw3dg 1.5+E-18.2
xbacklight 1.1.2-1
xbase-clients 1:7.7+1ubuntu8.1
xbattbar 1.4.4-1
xbindkeys 1.8.6-1
xbindkeys-config 0.1.3-2ubuntu1
xbitmaps 1.1.1-2
xca 0.9.3-1ubuntu1
xcalib 0.8.dfsg1-2ubuntu1
xcb 2.4-4.3
xchm 2:1.23-1
xclip 0.12+svn84-4
xcolors 1.5a-8
xcolorsel 1.1a-18
xcompmgr 1.1.6-1
xcursor-themes 1.0.3-1
xdaliclock 2.39-2
xdiskusage 1.48-10.1
xdm 1:1.1.11-1ubuntu1
xdmx 2:1.15.1-0ubuntu2.7
xdmx-tools 2:1.15.1-0ubuntu2.7
xdotool 1:3.20130111.1-3.1
xfe 1.37-1
xfe-themes 1.37-1
xfonts-traditional 1.6
xfonts-utils 1:7.7+1
xfs 1:7.7+1
xfstt 1.9-2
xicc 0.2-3
xinit 1.3.2-1
xinput 1.6.1-1
xipmsg 0.8088-2.1
xiterm+thai 1.10-2
xkb-data 2.10.1-1ubuntu1
xkbind 2010.05.20-1
xkbset 0.5-5.1
xkeycaps 2.47-4
xlassie 1.8-21
xmanpages-ja 1.8-21
xmem 1.8-21
xmobar 0.19-2
xmonad 0.11-6build1
xmotd 1.17.3b-5
xnee 3.13-1
xnest 2:1.15.1-0ubuntu2.7
xnetcardconfig 2:1.15.1-0ubuntu2.7
xneur 0.15.0-1.1
xoo 0.8-1.2
xorg 1:7.7+1ubuntu8.1
xorg-dev 1:7.7+1ubuntu8.1
xorg-sgml-doctools 1:1.11-1
xoscope 2.0-3.1ubuntu3
xosd-bin 2.2.14-2.1
xournal 4.7-1ubuntu1
xpad 4.2-0ubuntu1
xpmutils 1:3.5.10-1
xpp 1.5-cvs20081009-1
xpra 0.12.3+dfsg-1ubuntu1
xprintidle 0.2-9
xresprobe 0.4.24ubuntu9
xrestop 0.4-9
xrootconsole 1:0.6-3
xrsh 5.92-8
xscreensaver 5.15-3ubuntu1
xscreensaver-data 5.15-3ubuntu1
xscreensaver-data-extra 5.15-3ubuntu1
xscreensaver-gl 5.15-3ubuntu1
xscreensaver-gl-extra 5.15-3ubuntu1
xscreensaver-screensaver-bsod 5.15-3ubuntu1
xscreensaver-screensaver-webcollage 5.15-3ubuntu1
xsel 1.2.0-2
xsensors 0.70-3
xserver-common 2:1.15.1-0ubuntu2.7
xserver-xephyr 2:1.15.1-0ubuntu2.7
xserver-xfbdev 2:1.15.1-0ubuntu2.7
xserver-xorg 1:7.7+1ubuntu8.1
xserver-xorg-core 2:1.15.1-0ubuntu2.7
xserver-xorg-core-dbg 2:1.15.1-0ubuntu2.7
xserver-xorg-dev 2:1.15.1-0ubuntu2.7
xserver-xorg-input-acecad 1:1.5.0-1build5
xserver-xorg-input-aiptek 1:1.4.1-1build5
xserver-xorg-input-all 1:7.7+1ubuntu8.1
xserver-xorg-input-elographics 1:1.4.1-1build2
xserver-xorg-input-evdev 1:2.8.2-1ubuntu2
xserver-xorg-input-joystick 1:1.6.2-1build1
xserver-xorg-input-kbd 1:1.8.0-1build1
xserver-xorg-input-mouse 1:1.9.0-1build1
xserver-xorg-input-mtrack 0.3.0-1build2
xserver-xorg-input-multitouch 1.0~rc2+git20110312-2build5
xserver-xorg-input-mutouch 1:1.3.0-1build5
xserver-xorg-input-synaptics 1.7.4-0ubuntu1
xserver-xorg-input-vmmouse 1:13.0.0-1build1
xserver-xorg-input-void 1:1.4.0-1build3
xserver-xorg-input-wacom 1:0.23.0-0ubuntu2
xserver-xorg-video-all 1:7.7+1ubuntu8.1
xserver-xorg-video-apm 1:7.7+1ubuntu8.1
