adacgi1 1.6-17
uwsgi-extra 1.9.17.1-5build5
uwsgi-infrastructure-plugins 1.9.17.1-5build5
uwsgi-plugin-admin 1.9.17.1-5build5
uwsgi-plugin-cache 1.9.17.1-5build5
uwsgi-plugin-carbon 1.9.17.1-5build5
uwsgi-plugin-cgi 1.9.17.1-5build5
uwsgi-plugin-echo 1.9.17.1-5build5
uwsgi-plugin-erlang 1.9.17.1-5build5
uwsgi-plugin-fastrouter 1.9.17.1-5build5
uwsgi-plugin-fiber 1.9.17.1-5build5
uwsgi-plugin-graylog2 1.9.17.1-5build5
uwsgi-plugin-greenlet-python 1.9.17.1-5build5
uwsgi-plugin-http 1.9.17.1-5build5
uwsgi-plugin-jvm-openjdk-6 1.9.17.1-5build5
uwsgi-plugin-jwsgi-openjdk-6 1.9.17.1-5build5
uwsgi-plugin-logsocket 1.9.17.1-5build5
uwsgi-plugin-lua5.1 1.9.17.1-5build5
uwsgi-plugin-nagios 1.9.17.1-5build5
uwsgi-plugin-ping 1.9.17.1-5build5
uwsgi-plugin-probeconnect 1.9.17.1-5build5
uwsgi-plugin-probepg 1.9.17.1-5build5
uwsgi-plugin-psgi 1.9.17.1-5build5
uwsgi-plugin-pyerl-python 1.9.17.1-5build5
uwsgi-plugin-pyerl-python3 1.9.17.1-5build5
uwsgi-plugin-python 1.9.17.1-5build5
uwsgi-plugin-python3 1.9.17.1-5build5
uwsgi-plugin-rack-ruby1.8 1.9.17.1-5build5
uwsgi-plugin-rack-ruby1.9.1 1.9.17.1-5build5
uwsgi-plugin-rpc 1.9.17.1-5build5
uwsgi-plugin-rrdtool 1.9.17.1-5build5
uwsgi-plugin-rsyslog 1.9.17.1-5build5
uwsgi-plugin-signal 1.9.17.1-5build5
uwsgi-plugin-symcall 1.9.17.1-5build5
uwsgi-plugin-syslog 1.9.17.1-5build5
uwsgi-plugin-ugreen 1.9.17.1-5build5
uwsgi-plugins-all 1.9.17.1-5build5
uzbl 0.0.0~git.20120514-1.1
varnish 3.0.5-2
visitors 0.7-9
vlogger 1.3-4
w3c-markup-validator 1.3+dfsg-1
w3cam 0.7.2-6.2
w3m 0.5.3-15
w3m-img 0.5.3-15
wap-wml-tools 0.0.4-7
wapua 0.06.1-3
wbox 5-1
wdg-html-validator 1.6.2-7
webalizer 2.23.08-1
webauth-tests 4.5.5-2
webauth-utils 4.5.5-2
webauth-weblogin 4.5.5-2
webcheck 1.10.4
webdruid 0.5.4-14build1
webgen0.4 0.5.4-14build1
webgen0.5 0.5.17+dfsg1-1
webhttrack 3.48.1-4ubuntu1
webhttrack-common 3.48.1-4ubuntu1
webissues-server 0.8.5-3
webkit2pdf 0.2-5ubuntu1
webmagick 2.02-11
wfo 2.02-11
wget 1.15-1ubuntu1.14.04.1
wiliki 0.6.2-1
wims-help 4.01-2
witty 3.3.0-1build1
witty 3.3.0-1build1
wmf 1.0.5-6
wml 2.0.12ds1-7
wordpress 3.8.2+dfsg-1ubuntu0.1
wput 0.6.2+git20130413-2
wwwconfig-common 0.2.2
